case_uid,f_surge,A_surge,omega_star_surge,A_star_surge
p70_case_00,2.387,0.050,1.000,0.250
p70_case_01,4.775,0.025,2.000,0.125
p70_case_02,4.775,0.050,2.000,0.250
p70_case_03,3.183,0.075,2.000,0.375
p70_case_04,4.775,0.050,3.000,0.250
p70_case_05,4.297,0.075,2.700,0.375
p70_case_06,0.000,0.000,0.000,0.000
p70_case_07,0.000,0.000,0.000,0.000
p45_case_00,2.387,0.050,1.000,0.250
p45_case_01,4.775,0.025,2.000,0.125
p45_case_02,4.775,0.050,2.000,0.250
p45_case_03,3.183,0.075,2.000,0.375
p45_case_04,4.775,0.050,3.000,0.250
p45_case_05,4.297,0.075,2.700,0.375
p45_case_06,0.000,0.000,0.000,0.000
p45_case_07,0.000,0.000,0.000,0.000
